Symptoms,Possible Cause,Posibility ranked,Action,Action 2,Action 3
Filament not sticking,Dirty bed,1,Clean bed with IPA,,
,print head too far from bed (failed calibration),2,Clean nozzle,,
Filament not extruding,No fialment laoded,1,Load filament ,,
,no filament in extruder,2,load fialment from tube to extruder (when tube disconnected),,
,broken filament in extruder ,3,Open fialment idler and take filament out,,
,filament clogged in nozzle,4,poke nozzle with acupunture needle,nozzle cold pull,pick filament out of nozzle after heated
Under extrusion ,Debris in nozzle,1,poke nozzle with needle,,
prints layer shift,High chamber temperature,1,turn on chamber fan,,
,print too fast,2,lower print speed,,
,prints curl up & insufficient supports,3,reslice with supports,,
,incorrect belt tension,4,tighten or loosen belt to correct tension,,
,Over extrusion ,5,reslice it with no objects overlapse,,
Bed leveling fail ,incorrect placed bed,1,correct bed positon,,
,debris on bed,2,clean bed,,
,debris on nozzle ,3,clean nozzle ,,
,unleveled bed,4,disable stepper and manually screw bed all the way to bottom,,
unable to change fialment,fialment unable to pull out ,1,pull filament from both side,,
,fialment broke in tube,2,"feed filament from one side, and push broken filament out from th other side",,
,fialment stuck inside nozzle,3,take nozzle out and clean fialment out with heated air gun,,
,filament unable to feed into tube],4,disassemble filament feeder,,
fan not spinning,debris in fans,1,clean debris out from fan,,
,fan cable disconnected,2,open board and reconnect,,
,fan broke,3,replace to new fan,,
